"year","county","substance","log_rr_median","prob_rr_gt1"
2011,"Richland","psychostimulant",1.50079514119375,0.978066666666667
2011,"Ross","psychostimulant",1.61431267704489,0.982933333333333
2011,"Sandusky","psychostimulant",1.55916383431456,0.9808
2011,"Scioto","psychostimulant",1.57017883947783,0.9822
2011,"Seneca","psychostimulant",1.48411357299793,0.972466666666667
2011,"Shelby","psychostimulant",1.52661553312161,0.977533333333333
2011,"Stark","psychostimulant",1.63829850620831,0.986333333333333
2011,"Summit","psychostimulant",1.59323058902859,0.9884
2011,"Trumbull","psychostimulant",1.64155350090054,0.987733333333333
2011,"Tuscarawas","psychostimulant",1.59729337046543,0.982133333333333
2011,"Union","psychostimulant",1.5279695011684,0.9772
2011,"Van Wert","psychostimulant",1.54595696926442,0.978466666666667
2011,"Vinton","psychostimulant",1.62762395490406,0.986133333333333
2011,"Warren","psychostimulant",1.57164131809611,0.982866666666667
2011,"Washington","psychostimulant",1.54696418977923,0.977666666666667
2011,"Wayne","psychostimulant",1.74876830554904,0.988866666666667
2011,"Williams","psychostimulant",1.54708609107197,0.9768
2011,"Wood","psychostimulant",1.49583706771572,0.9724
2011,"Wyandot","psychostimulant",1.54560272301885,0.977866666666667
2012,"Adams","psychostimulant",1.62921194140893,0.986866666666667
2012,"Allen","psychostimulant",1.38271381142408,0.9652
2012,"Ashland","psychostimulant",1.46358620767605,0.975333333333333
2012,"Ashtabula","psychostimulant",1.48605229711817,0.974733333333333
2012,"Athens","psychostimulant",1.53844447008377,0.978533333333333
2012,"Auglaize","psychostimulant",1.3624513809017,0.9612
2012,"Belmont","psychostimulant",1.46069441754689,0.9746
2012,"Brown","psychostimulant",1.60727246024379,0.982266666666667
2012,"Butler","psychostimulant",1.56673146116447,0.987
2012,"Carroll","psychostimulant",1.42913292714495,0.969466666666667
2012,"Champaign","psychostimulant",1.41241839653817,0.9692
2012,"Clark","psychostimulant",1.32210867441653,0.9592
2012,"Clermont","psychostimulant",1.69877676978356,0.989533333333333
2012,"Clinton","psychostimulant",1.62810103630584,0.983933333333333
2012,"Columbiana","psychostimulant",1.46968484060133,0.9728
2012,"Coshocton","psychostimulant",1.5919360534348,0.983866666666667
2012,"Crawford","psychostimulant",1.46155366292336,0.973
2012,"Cuyahoga","psychostimulant",1.4600641358965,0.989933333333333
2012,"Darke","psychostimulant",1.46795006086345,0.971066666666667
2012,"Defiance","psychostimulant",1.46900407578558,0.972066666666667
2012,"Delaware","psychostimulant",1.5035273354524,0.978066666666667
2012,"Erie","psychostimulant",1.45045744566091,0.9724
2012,"Fairfield","psychostimulant",1.55320043116252,0.9814
2012,"Fayette","psychostimulant",1.57482569490507,0.980066666666667
2012,"Franklin","psychostimulant",1.33439656866489,0.9752
2012,"Fulton","psychostimulant",1.53055747039863,0.9766
2012,"Gallia","psychostimulant",1.4692796359562,0.9754
2012,"Geauga","psychostimulant",1.43624860693664,0.973133333333333
2012,"Greene","psychostimulant",1.30076574255512,0.957733333333333
2012,"Guernsey","psychostimulant",1.61291006219511,0.982933333333333
2012,"Hamilton","psychostimulant",1.51576527181857,0.987266666666667
2012,"Hancock","psychostimulant",1.43548691272032,0.970533333333333
2012,"Hardin","psychostimulant",1.43025588253835,0.970866666666667
2012,"Harrison","psychostimulant",1.52723591047452,0.979266666666667
2012,"Henry","psychostimulant",1.40235713245869,0.964
