"year","county","substance","u_median","prob_positive"
2012,"Noble","cocaine",-0.594450224973533,0.074
2012,"Ottawa","cocaine",-0.217560698821171,0.3184
2012,"Paulding","cocaine",-0.519246947051055,0.156733333333333
2012,"Perry","cocaine",-0.594951123015929,0.0517333333333333
2012,"Pickaway","cocaine",0.211995938944183,0.741066666666667
2012,"Pike","cocaine",-0.0146071571060952,0.483733333333333
2012,"Portage","cocaine",0.321225880474308,0.842333333333333
2012,"Preble","cocaine",0.396017054376137,0.815133333333333
2012,"Putnam","cocaine",-0.2417394938154,0.249333333333333
2012,"Richland","cocaine",0.246477380730391,0.767266666666667
2012,"Ross","cocaine",0.336733145053771,0.8578
2012,"Sandusky","cocaine",-0.196333297023926,0.297533333333333
2012,"Scioto","cocaine",-0.146483685249985,0.3664
2012,"Seneca","cocaine",-0.348463045261071,0.162266666666667
2012,"Shelby","cocaine",-0.0188604281537589,0.484266666666667
2012,"Stark","cocaine",0.236114231321201,0.805066666666667
2012,"Summit","cocaine",0.263195718898408,0.8078
2012,"Trumbull","cocaine",0.554875596774251,0.934133333333333
2012,"Tuscarawas","cocaine",-0.143119512371108,0.337933333333333
2012,"Union","cocaine",-0.0522415816988982,0.435666666666667
2012,"Van Wert","cocaine",-0.228728527798108,0.290666666666667
2012,"Vinton","cocaine",-0.204317694383295,0.3004
2012,"Warren","cocaine",0.233927865308201,0.772733333333333
2012,"Washington","cocaine",-0.699419196168189,0.0606666666666667
2012,"Wayne","cocaine",-0.0443072971309206,0.4518
2012,"Williams","cocaine",-0.387338334742362,0.2176
2012,"Wood","cocaine",-0.218478071161317,0.258466666666667
2012,"Wyandot","cocaine",-0.307728990606389,0.214266666666667
2013,"Adams","cocaine",-0.190755746880539,0.348666666666667
2013,"Allen","cocaine",-0.11038012124874,0.383
2013,"Ashland","cocaine",-0.0590204818184129,0.432266666666667
2013,"Ashtabula","cocaine",-0.00620841261279161,0.493733333333333
2013,"Athens","cocaine",-0.670330189786717,0.0458666666666667
2013,"Auglaize","cocaine",-0.298620174636905,0.2062
2013,"Belmont","cocaine",-0.236875478058276,0.2812
2013,"Brown","cocaine",0.253114433102513,0.720066666666667
2013,"Butler","cocaine",0.939342514088731,0.9956
2013,"Carroll","cocaine",0.157416362266061,0.647866666666667
2013,"Champaign","cocaine",0.372671514802108,0.842266666666667
2013,"Clark","cocaine",0.794439289825775,0.986666666666667
2013,"Clermont","cocaine",0.558108328243184,0.923933333333333
2013,"Clinton","cocaine",0.170635242184247,0.675933333333333
2013,"Columbiana","cocaine",0.501054197959799,0.903333333333333
2013,"Coshocton","cocaine",-0.262212913600966,0.240533333333333
2013,"Crawford","cocaine",-0.0157672786201273,0.482466666666667
2013,"Cuyahoga","cocaine",0.830066926372628,0.9916
2013,"Darke","cocaine",0.369839494867368,0.844466666666667
2013,"Defiance","cocaine",-0.340276853745229,0.234666666666667
2013,"Delaware","cocaine",-0.201342419286261,0.2742
2013,"Erie","cocaine",-0.162828459585421,0.3566
2013,"Fairfield","cocaine",-0.560885779793429,0.0639333333333333
2013,"Fayette","cocaine",0.378432731202565,0.847866666666667
2013,"Franklin","cocaine",0.549114757103219,0.945866666666667
2013,"Fulton","cocaine",-0.309682610368125,0.270533333333333
2013,"Gallia","cocaine",-0.0463877073400603,0.458866666666667
2013,"Geauga","cocaine",0.22653818475128,0.732466666666667
2013,"Greene","cocaine",0.0960497987047378,0.610533333333333
2013,"Guernsey","cocaine",-0.184934605052428,0.316533333333333
2013,"Hamilton","cocaine",1.03079824446904,0.9972
2013,"Hancock","cocaine",-0.270061168265667,0.2228
2013,"Hardin","cocaine",-0.275216402288323,0.228933333333333
2013,"Harrison","cocaine",-0.0702655352900926,0.434733333333333
2013,"Henry","cocaine",-0.252174577389121,0.263733333333333
2013,"Highland","cocaine",-0.0557252697628412,0.445333333333333
2013,"Hocking","cocaine",-0.312186693626931,0.212866666666667
2013,"Holmes","cocaine",-0.462381357380471,0.1204
2013,"Huron","cocaine",-0.0794094261422803,0.410866666666667
2013,"Jackson","cocaine",-0.00984416683635192,0.490933333333333
2013,"Jefferson","cocaine",0.44104055049782,0.846
2013,"Knox","cocaine",-0.0328033422579095,0.463933333333333
2013,"Lake","cocaine",0.321976399291702,0.785266666666667
2013,"Lawrence","cocaine",0.0512549541456548,0.5416
2013,"Licking","cocaine",-0.468099502779551,0.0782666666666667
2013,"Logan","cocaine",0.0238615956440855,0.524666666666667
2013,"Lorain","cocaine",0.566771473589279,0.949466666666667
2013,"Lucas","cocaine",0.362755581208886,0.845533333333333
2013,"Madison","cocaine",0.216972405066292,0.7458
2013,"Mahoning","cocaine",0.971915015275723,0.9964
2013,"Marion","cocaine",0.316257089391863,0.822133333333333
2013,"Medina","cocaine",0.0887741082532429,0.6
2013,"Meigs","cocaine",-0.267770763516137,0.302866666666667
2013,"Mercer","cocaine",-0.523185824773826,0.1538
2013,"Miami","cocaine",0.204244185092162,0.7104
2013,"Monroe","cocaine",-0.749381915880906,0.093
2013,"Montgomery","cocaine",0.556421906065306,0.961666666666667
2013,"Morgan","cocaine",-0.916321071511308,0.0242
2013,"Morrow","cocaine",0.0139101516469219,0.515533333333333
2013,"Muskingum","cocaine",-0.499383446296272,0.0882666666666667
2013,"Noble","cocaine",-0.627453841612529,0.0762
2013,"Ottawa","cocaine",-0.205810840091328,0.333266666666667
2013,"Paulding","cocaine",-0.650494611484819,0.120733333333333
2013,"Perry","cocaine",-0.750230934373663,0.0326
2013,"Pickaway","cocaine",0.192402301192878,0.707466666666667
2013,"Pike","cocaine",0.0193446423431142,0.520133333333333
2013,"Portage","cocaine",0.384740897751388,0.871866666666667
2013,"Preble","cocaine",0.430799523271315,0.822466666666667
2013,"Putnam","cocaine",-0.28222145651476,0.2294
2013,"Richland","cocaine",0.467202437065377,0.901733333333333
2013,"Ross","cocaine",0.511980175147032,0.933266666666667
2013,"Sandusky","cocaine",-0.18157171807123,0.3182
2013,"Scioto","cocaine",-0.0871156522916571,0.4236
2013,"Seneca","cocaine",-0.420774365931845,0.1342
2013,"Shelby","cocaine",-0.0972492081752058,0.406
2013,"Stark","cocaine",0.362043700650105,0.886666666666667
2013,"Summit","cocaine",0.28001064235187,0.812866666666667
2013,"Trumbull","cocaine",0.69237064704576,0.967066666666667
2013,"Tuscarawas","cocaine",-0.0551953351808763,0.4376
2013,"Union","cocaine",-0.158034498248461,0.325066666666667
2013,"Van Wert","cocaine",-0.308506469416425,0.234266666666667
2013,"Vinton","cocaine",-0.178066299620774,0.338
2013,"Warren","cocaine",0.219292883485518,0.744466666666667
2013,"Washington","cocaine",-0.751507805978191,0.0534666666666667
2013,"Wayne","cocaine",-0.0169305037424858,0.482466666666667
2013,"Williams","cocaine",-0.46442131412881,0.186933333333333
2013,"Wood","cocaine",-0.185494595393261,0.2924
2013,"Wyandot","cocaine",-0.388842519700524,0.1754
2014,"Adams","cocaine",-0.442309925420407,0.188133333333333
2014,"Allen","cocaine",-0.0132480079292249,0.485733333333333
2014,"Ashland","cocaine",-0.0304804473746892,0.467066666666667
2014,"Ashtabula","cocaine",-0.0236398806924331,0.4788
2014,"Athens","cocaine",-0.92999008844423,0.0128666666666667
2014,"Auglaize","cocaine",-0.190990657024695,0.310266666666667
2014,"Belmont","cocaine",-0.34754064051053,0.200866666666667
2014,"Brown","cocaine",0.10730978079385,0.5956
2014,"Butler","cocaine",0.99799060633946,0.997666666666667
2014,"Carroll","cocaine",0.0318679217769592,0.530466666666667
2014,"Champaign","cocaine",0.556104486286344,0.925466666666667
2014,"Clark","cocaine",1.02967506481397,0.997333333333333
2014,"Clermont","cocaine",0.584624071441937,0.928
2014,"Clinton","cocaine",0.102977976955082,0.599533333333333
2014,"Columbiana","cocaine",0.37396159243408,0.826733333333333
2014,"Coshocton","cocaine",-0.376521744762968,0.174
2014,"Crawford","cocaine",0.196808157898987,0.7016
2014,"Cuyahoga","cocaine",0.661993958691879,0.965666666666667
2014,"Darke","cocaine",0.552927342370839,0.9282
2014,"Defiance","cocaine",-0.233572701557895,0.3164
2014,"Delaware","cocaine",-0.206450374999443,0.2774
2014,"Erie","cocaine",0.0753283078333696,0.569666666666667
2014,"Fairfield","cocaine",-0.830736923680941,0.0149333333333333
