DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
Unknown,Brown,2015,0,0,1256
White,Brown,2016,1,42824,1260
Black,Brown,2016,0,547,1262
American Indian or Alaskan Native,Brown,2016,0,138,1264
Asian or Pacific Islander,Brown,2016,0,151,1266
Other,Brown,2016,0,0,1268
Unknown,Brown,2016,0,0,1270
White,Brown,2017,0,42708,1274
Black,Brown,2017,0,527,1276
American Indian or Alaskan Native,Brown,2017,0,134,1278
Asian or Pacific Islander,Brown,2017,0,189,1280
Other,Brown,2017,0,0,1282
Unknown,Brown,2017,0,0,1284
White,Brown,2018,2,42739,1288
Black,Brown,2018,0,559,1290
American Indian or Alaskan Native,Brown,2018,0,137,1292
Asian or Pacific Islander,Brown,2018,0,188,1294
Other,Brown,2018,0,0,1296
Unknown,Brown,2018,0,0,1298
White,Brown,2019,2,42577,1302
Black,Brown,2019,0,578,1304
American Indian or Alaskan Native,Brown,2019,0,135,1306
Asian or Pacific Islander,Brown,2019,0,183,1308
Other,Brown,2019,0,0,1310
Unknown,Brown,2019,0,0,1312
White,Brown,2020,0,42476,1316
Black,Brown,2020,0,582,1318
American Indian or Alaskan Native,Brown,2020,0,151,1320
Asian or Pacific Islander,Brown,2020,0,205,1322
Other,Brown,2020,0,0,1324
Unknown,Brown,2020,0,0,1326
White,Butler,2010,9,327299,1344
Black,Butler,2010,0,30222,1346
American Indian or Alaskan Native,Butler,2010,0,1278,1348
Asian or Pacific Islander,Butler,2010,0,10312,1350
Other,Butler,2010,0,0,1352
Unknown,Butler,2010,0,0,1354
White,Butler,2011,7,327361,1358
Black,Butler,2011,2,30850,1360
American Indian or Alaskan Native,Butler,2011,0,1290,1362
Asian or Pacific Islander,Butler,2011,0,10663,1364
Other,Butler,2011,0,0,1366
Unknown,Butler,2011,1,0,1368
White,Butler,2012,14,326667,1372
Black,Butler,2012,1,31563,1374
American Indian or Alaskan Native,Butler,2012,0,1286,1376
Asian or Pacific Islander,Butler,2012,0,11112,1378
Other,Butler,2012,0,0,1380
Unknown,Butler,2012,0,0,1382
White,Butler,2013,24,326428,1386
Black,Butler,2013,2,32060,1388
American Indian or Alaskan Native,Butler,2013,0,1317,1390
Asian or Pacific Islander,Butler,2013,0,11692,1392
Other,Butler,2013,0,0,1394
Unknown,Butler,2013,0,0,1396
White,Butler,2014,32,327220,1400
Black,Butler,2014,3,33192,1402
American Indian or Alaskan Native,Butler,2014,0,1317,1404
Asian or Pacific Islander,Butler,2014,1,12148,1406
Other,Butler,2014,0,0,1408
Unknown,Butler,2014,0,0,1410
White,Butler,2015,42,327751,1414
Black,Butler,2015,6,34295,1416
American Indian or Alaskan Native,Butler,2015,0,1342,1418
Asian or Pacific Islander,Butler,2015,0,12785,1420
Other,Butler,2015,0,0,1422
Unknown,Butler,2015,0,0,1424
White,Butler,2016,47,328301,1428
Black,Butler,2016,6,35331,1430
American Indian or Alaskan Native,Butler,2016,0,1343,1432
Asian or Pacific Islander,Butler,2016,0,13552,1434
Other,Butler,2016,0,0,1436
Unknown,Butler,2016,0,0,1438
White,Butler,2017,51,328293,1442
Black,Butler,2017,8,36508,1444
American Indian or Alaskan Native,Butler,2017,0,1375,1446
Asian or Pacific Islander,Butler,2017,0,14575,1448
Other,Butler,2017,0,0,1450
Unknown,Butler,2017,0,0,1452
White,Butler,2018,34,327601,1456
Black,Butler,2018,3,37474,1458
American Indian or Alaskan Native,Butler,2018,1,1434,1460
Asian or Pacific Islander,Butler,2018,0,15605,1462
Other,Butler,2018,0,0,1464
Unknown,Butler,2018,0,0,1466
White,Butler,2019,20,326487,1470
Black,Butler,2019,7,38909,1472
American Indian or Alaskan Native,Butler,2019,0,1430,1474
Asian or Pacific Islander,Butler,2019,0,16777,1476
Other,Butler,2019,0,0,1478
Unknown,Butler,2019,1,0,1480
White,Butler,2020,35,326336,1484
Black,Butler,2020,9,40312,1486
American Indian or Alaskan Native,Butler,2020,0,1501,1488
Asian or Pacific Islander,Butler,2020,0,17499,1490
Other,Butler,2020,0,0,1492
Unknown,Butler,2020,0,0,1494
White,Carroll,2010,0,28481,1512
Black,Carroll,2010,0,227,1514
American Indian or Alaskan Native,Carroll,2010,0,82,1516
Asian or Pacific Islander,Carroll,2010,0,69,1518
Other,Carroll,2010,0,0,1520
Unknown,Carroll,2010,0,0,1522
White,Carroll,2011,0,28430,1526
Black,Carroll,2011,0,246,1528
American Indian or Alaskan Native,Carroll,2011,0,82,1530
Asian or Pacific Islander,Carroll,2011,0,74,1532
Other,Carroll,2011,0,0,1534
Unknown,Carroll,2011,0,0,1536
White,Carroll,2012,2,28112,1540
Black,Carroll,2012,0,269,1542
American Indian or Alaskan Native,Carroll,2012,0,89,1544
Asian or Pacific Islander,Carroll,2012,0,81,1546
Other,Carroll,2012,0,0,1548
Unknown,Carroll,2012,0,0,1550
White,Carroll,2013,0,27810,1554
Black,Carroll,2013,0,270,1556
American Indian or Alaskan Native,Carroll,2013,0,98,1558
Asian or Pacific Islander,Carroll,2013,0,94,1560
Other,Carroll,2013,0,0,1562
Unknown,Carroll,2013,0,0,1564
White,Carroll,2014,0,27669,1568
Black,Carroll,2014,0,284,1570
American Indian or Alaskan Native,Carroll,2014,0,85,1572
Asian or Pacific Islander,Carroll,2014,0,106,1574
Other,Carroll,2014,0,0,1576
Unknown,Carroll,2014,0,0,1578
White,Carroll,2015,0,27236,1582
Black,Carroll,2015,0,295,1584
American Indian or Alaskan Native,Carroll,2015,0,88,1586
Asian or Pacific Islander,Carroll,2015,0,110,1588
Other,Carroll,2015,0,0,1590
Unknown,Carroll,2015,0,0,1592
White,Carroll,2016,1,27136,1596
Black,Carroll,2016,0,289,1598
American Indian or Alaskan Native,Carroll,2016,0,99,1600
Asian or Pacific Islander,Carroll,2016,0,106,1602
Other,Carroll,2016,0,0,1604
Unknown,Carroll,2016,0,0,1606
White,Carroll,2017,3,26812,1610
Black,Carroll,2017,0,311,1612
American Indian or Alaskan Native,Carroll,2017,0,95,1614
Asian or Pacific Islander,Carroll,2017,0,111,1616
Other,Carroll,2017,0,0,1618
Unknown,Carroll,2017,0,0,1620
White,Carroll,2018,2,26611,1624
Black,Carroll,2018,0,316,1626
