DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
Other,Belmont,2010,0,0,1226
Unknown,Belmont,2010,0,0,1228
White,Belmont,2011,0,66516,1232
Black,Belmont,2011,0,3193,1234
American Indian or Alaskan Native,Belmont,2011,0,103,1236
Asian or Pacific Islander,Belmont,2011,0,320,1238
Other,Belmont,2011,0,0,1240
Unknown,Belmont,2011,0,0,1242
White,Belmont,2012,0,66104,1246
Black,Belmont,2012,0,3205,1248
American Indian or Alaskan Native,Belmont,2012,0,107,1250
Asian or Pacific Islander,Belmont,2012,0,312,1252
Other,Belmont,2012,0,0,1254
Unknown,Belmont,2012,0,0,1256
White,Belmont,2013,0,65911,1260
Black,Belmont,2013,0,3232,1262
American Indian or Alaskan Native,Belmont,2013,0,108,1264
Asian or Pacific Islander,Belmont,2013,0,342,1266
Other,Belmont,2013,0,0,1268
Unknown,Belmont,2013,0,0,1270
White,Belmont,2014,0,65652,1274
Black,Belmont,2014,0,3272,1276
American Indian or Alaskan Native,Belmont,2014,0,110,1278
Asian or Pacific Islander,Belmont,2014,0,369,1280
Other,Belmont,2014,0,0,1282
Unknown,Belmont,2014,0,0,1284
White,Belmont,2015,0,65240,1288
Black,Belmont,2015,0,3286,1290
American Indian or Alaskan Native,Belmont,2015,0,118,1292
Asian or Pacific Islander,Belmont,2015,0,374,1294
Other,Belmont,2015,0,0,1296
Unknown,Belmont,2015,0,0,1298
White,Belmont,2016,0,64899,1302
Black,Belmont,2016,0,3233,1304
American Indian or Alaskan Native,Belmont,2016,0,125,1306
Asian or Pacific Islander,Belmont,2016,0,385,1308
Other,Belmont,2016,0,0,1310
Unknown,Belmont,2016,0,0,1312
White,Belmont,2017,1,64262,1316
Black,Belmont,2017,0,3270,1318
American Indian or Alaskan Native,Belmont,2017,0,120,1320
Asian or Pacific Islander,Belmont,2017,0,422,1322
Other,Belmont,2017,0,0,1324
Unknown,Belmont,2017,0,0,1326
White,Belmont,2018,0,63616,1330
Black,Belmont,2018,0,3342,1332
American Indian or Alaskan Native,Belmont,2018,0,120,1334
Asian or Pacific Islander,Belmont,2018,0,414,1336
Other,Belmont,2018,0,0,1338
Unknown,Belmont,2018,0,0,1340
White,Belmont,2019,1,63112,1344
Black,Belmont,2019,0,3319,1346
American Indian or Alaskan Native,Belmont,2019,0,123,1348
Asian or Pacific Islander,Belmont,2019,0,425,1350
Other,Belmont,2019,0,0,1352
Unknown,Belmont,2019,0,0,1354
White,Brown,2007,0,43785,1372
Black,Brown,2007,0,506,1374
American Indian or Alaskan Native,Brown,2007,0,77,1376
Asian or Pacific Islander,Brown,2007,0,122,1378
Other,Brown,2007,0,0,1380
Unknown,Brown,2007,0,0,1382
White,Brown,2008,0,43972,1386
Black,Brown,2008,0,483,1388
American Indian or Alaskan Native,Brown,2008,0,77,1390
Asian or Pacific Islander,Brown,2008,0,136,1392
Other,Brown,2008,0,0,1394
Unknown,Brown,2008,0,0,1396
White,Brown,2009,0,44031,1400
Black,Brown,2009,0,490,1402
American Indian or Alaskan Native,Brown,2009,0,79,1404
Asian or Pacific Islander,Brown,2009,0,140,1406
Other,Brown,2009,0,0,1408
Unknown,Brown,2009,0,0,1410
White,Brown,2010,0,44137,1414
Black,Brown,2010,0,494,1416
American Indian or Alaskan Native,Brown,2010,0,84,1418
Asian or Pacific Islander,Brown,2010,0,153,1420
Other,Brown,2010,0,0,1422
Unknown,Brown,2010,0,0,1424
White,Brown,2011,0,43883,1428
Black,Brown,2011,0,509,1430
American Indian or Alaskan Native,Brown,2011,0,89,1432
Asian or Pacific Islander,Brown,2011,0,151,1434
Other,Brown,2011,0,0,1436
Unknown,Brown,2011,0,0,1438
White,Brown,2012,0,43522,1442
Black,Brown,2012,0,522,1444
American Indian or Alaskan Native,Brown,2012,0,94,1446
Asian or Pacific Islander,Brown,2012,0,151,1448
Other,Brown,2012,0,0,1450
Unknown,Brown,2012,0,0,1452
White,Brown,2013,0,43362,1456
Black,Brown,2013,0,522,1458
American Indian or Alaskan Native,Brown,2013,0,94,1460
Asian or Pacific Islander,Brown,2013,0,147,1462
Other,Brown,2013,0,0,1464
Unknown,Brown,2013,0,0,1466
White,Brown,2014,0,43134,1470
Black,Brown,2014,0,544,1472
American Indian or Alaskan Native,Brown,2014,0,111,1474
Asian or Pacific Islander,Brown,2014,0,161,1476
Other,Brown,2014,0,0,1478
Unknown,Brown,2014,0,0,1480
White,Brown,2015,0,42916,1484
Black,Brown,2015,0,524,1486
American Indian or Alaskan Native,Brown,2015,0,122,1488
Asian or Pacific Islander,Brown,2015,0,155,1490
