CountyPopCountyName,PopulationYearYear,RacePopRaceDesc,AgeGroupNCHSAgeNCHS,Count,SORT
Defiance,2014,Black,< 1,14,696
Defiance,2014,White,< 1,374,697
Defiance,2015,Black,< 1,23,699
Defiance,2015,White,< 1,410,700
Defiance,2016,Black,< 1,15,702
Defiance,2016,White,< 1,400,703
Defiance,2017,Black,< 1,9,705
Defiance,2017,White,< 1,399,706
Defiance,2018,Black,< 1,18,708
Defiance,2018,White,< 1,427,709
Defiance,2019,Black,< 1,19,711
Defiance,2019,White,< 1,384,712
Defiance,2020,Black,< 1,26,714
Defiance,2020,White,< 1,368,715
Delaware,2010,Black,< 1,96,720
Delaware,2010,White,< 1,2015,721
Delaware,2011,Black,< 1,104,723
Delaware,2011,White,< 1,1854,724
Delaware,2012,Black,< 1,94,726
Delaware,2012,White,< 1,1856,727
Delaware,2013,Black,< 1,109,729
Delaware,2013,White,< 1,1901,730
Delaware,2014,Black,< 1,104,732
Delaware,2014,White,< 1,1958,733
Delaware,2015,Black,< 1,99,735
Delaware,2015,White,< 1,1879,736
Delaware,2016,Black,< 1,92,738
Delaware,2016,White,< 1,1932,739
Delaware,2017,Black,< 1,104,741
Delaware,2017,White,< 1,1749,742
Delaware,2018,Black,< 1,118,744
Delaware,2018,White,< 1,1728,745
Delaware,2019,Black,< 1,126,747
Delaware,2019,White,< 1,1792,748
Delaware,2020,Black,< 1,128,750
Delaware,2020,White,< 1,1732,751
Erie,2010,Black,< 1,152,756
Erie,2010,White,< 1,637,757
Erie,2011,Black,< 1,155,759
Erie,2011,White,< 1,595,760
Erie,2012,Black,< 1,136,762
Erie,2012,White,< 1,608,763
Erie,2013,Black,< 1,166,765
Erie,2013,White,< 1,633,766
Erie,2014,Black,< 1,158,768
Erie,2014,White,< 1,631,769
Erie,2015,Black,< 1,158,771
Erie,2015,White,< 1,631,772
Erie,2016,Black,< 1,163,774
Erie,2016,White,< 1,600,775
Erie,2017,Black,< 1,161,777
Erie,2017,White,< 1,619,778
Erie,2018,Black,< 1,146,780
Erie,2018,White,< 1,618,781
Erie,2019,Black,< 1,153,783
Erie,2019,White,< 1,617,784
Erie,2020,Black,< 1,142,786
Erie,2020,White,< 1,600,787
Fairfield,2010,Black,< 1,154,792
Fairfield,2010,White,< 1,1529,793
Fairfield,2011,Black,< 1,143,795
Fairfield,2011,White,< 1,1432,796
Fairfield,2012,Black,< 1,146,798
Fairfield,2012,White,< 1,1478,799
Fairfield,2013,Black,< 1,154,801
Fairfield,2013,White,< 1,1532,802
Fairfield,2014,Black,< 1,155,804
Fairfield,2014,White,< 1,1458,805
Fairfield,2015,Black,< 1,140,807
Fairfield,2015,White,< 1,1496,808
Fairfield,2016,Black,< 1,147,810
Fairfield,2016,White,< 1,1510,811
Fairfield,2017,Black,< 1,177,813
Fairfield,2017,White,< 1,1526,814
Fairfield,2018,Black,< 1,183,816
Fairfield,2018,White,< 1,1562,817
Fairfield,2019,Black,< 1,207,819
Fairfield,2019,White,< 1,1439,820
Fairfield,2020,Black,< 1,235,822
Fairfield,2020,White,< 1,1418,823
Fayette,2010,Black,< 1,14,828
Fayette,2010,White,< 1,349,829
Fayette,2011,Black,< 1,15,831
Fayette,2011,White,< 1,336,832
Fayette,2012,Black,< 1,17,834
Fayette,2012,White,< 1,353,835
Fayette,2013,Black,< 1,13,837
Fayette,2013,White,< 1,347,838
Fayette,2014,Black,< 1,13,840
Fayette,2014,White,< 1,311,841
Fayette,2015,Black,< 1,19,843
Fayette,2015,White,< 1,324,844
Fayette,2016,Black,< 1,16,846
Fayette,2016,White,< 1,340,847
Fayette,2017,Black,< 1,15,849
Fayette,2017,White,< 1,307,850
Fayette,2018,Black,< 1,10,852
Fayette,2018,White,< 1,297,853
Fayette,2019,Black,< 1,18,855
Fayette,2019,White,< 1,323,856
Fayette,2020,Black,< 1,18,858
Fayette,2020,White,< 1,298,859
Franklin,2010,Black,< 1,5333,864
Franklin,2010,White,< 1,11008,865
Franklin,2011,Black,< 1,5562,867
Franklin,2011,White,< 1,11185,868
Franklin,2012,Black,< 1,5514,870
Franklin,2012,White,< 1,11493,871
Franklin,2013,Black,< 1,5868,873
Franklin,2013,White,< 1,11480,874
Franklin,2014,Black,< 1,5977,876
Franklin,2014,White,< 1,11581,877
Franklin,2015,Black,< 1,6123,879
Franklin,2015,White,< 1,11413,880
Franklin,2016,Black,< 1,6113,882
Franklin,2016,White,< 1,11456,883
Franklin,2017,Black,< 1,6186,885
Franklin,2017,White,< 1,11076,886
Franklin,2018,Black,< 1,6268,888
Franklin,2018,White,< 1,10864,889
Franklin,2019,Black,< 1,5712,891
Franklin,2019,White,< 1,11156,892
Franklin,2020,Black,< 1,5175,894
Franklin,2020,White,< 1,11632,895
Fulton,2010,Black,< 1,11,900
Fulton,2010,White,< 1,495,901
Fulton,2011,Black,< 1,12,903
Fulton,2011,White,< 1,474,904
Fulton,2012,Black,< 1,13,906
Fulton,2012,White,< 1,428,907
Fulton,2013,Black,< 1,14,909
Fulton,2013,White,< 1,468,910
Fulton,2014,Black,< 1,11,912
Fulton,2014,White,< 1,509,913
Fulton,2015,Black,< 1,15,915
Fulton,2015,White,< 1,474,916
Fulton,2016,Black,< 1,15,918
Fulton,2016,White,< 1,474,919
Fulton,2017,Black,< 1,16,921
Fulton,2017,White,< 1,452,922
Fulton,2018,Black,< 1,17,924
Fulton,2018,White,< 1,449,925
Fulton,2019,Black,< 1,17,927
Fulton,2019,White,< 1,442,928
Fulton,2020,Black,< 1,13,930
Fulton,2020,White,< 1,447,931
Gallia,2010,Black,< 1,26,936
Gallia,2010,White,< 1,369,937
Gallia,2011,Black,< 1,14,939
Gallia,2011,White,< 1,337,940
Gallia,2012,Black,< 1,13,942
Gallia,2012,White,< 1,374,943
Gallia,2013,Black,< 1,12,945
Gallia,2013,White,< 1,350,946
Gallia,2014,Black,< 1,18,948
Gallia,2014,White,< 1,383,949
Gallia,2015,Black,< 1,16,951
Gallia,2015,White,< 1,335,952
Gallia,2016,Black,< 1,15,954
Gallia,2016,White,< 1,386,955
Gallia,2017,Black,< 1,7,957
Gallia,2017,White,< 1,336,958
